,TAA,TA,TIN,TIR,TSI,TIM,TIRE,TIP,TIT,TID,TSC,TAc,Type
12, ,11:39,ICE 1555,Frankfurt(Main)Hbf 07:16-Fulda 08:14-Bad Hersfeld 08:40-Eisenach 09:09-Gotha 09:23-Erfurt Hbf 09:40-Leipzig Hbf 10:31-Riesa 11:03-Dresden Hbf 11:39,8010085,arr,Frankfurt(Main)Hbf,3,11:39,20.06.19,Dresden%238010085,0,ICE
1124, ,,ICE 1555,Frankfurt(Main)Hbf 07:16-Fulda 08:14-Bad Hersfeld 08:40-Eisenach 09:09-Gotha 09:23-Erfurt Hbf 09:40-Leipzig Hbf 10:31-Riesa 11:03-Dresden Hbf 11:39,8010085,arr,Frankfurt(Main)Hbf,3,11:39,20.06.19,Dresden%238010085,0,ICE
2469, ,,ICE 1558,Dresden Hbf 12:10-Riesa 12:46-Leipzig Hbf 13:20-Erfurt Hbf 14:15-Gotha 14:31-Eisenach 14:46-Bad Hersfeld 15:15-Fulda 15:41-Frankfurt(Main)Hbf 16:36-Frankfurt(M) Flughafen Fernbf 16:55-Mainz Hbf 17:15-Wiesbaden Hbf 17:33,8010085,dep,Wiesbaden Hbf,3,12:10,20.06.19,Dresden%238010085,0,ICE
4194, ,13:39,ICE 1557,Wiesbaden Hbf 08:26-Mainz Hbf 08:43-Frankfurt(M) Flughafen Fernbf 09:02-Frankfurt(Main)Hbf 09:20-Fulda 10:14-Bad Hersfeld 10:40-Eisenach 11:09-Gotha 11:23-Erfurt Hbf 11:40-Leipzig Hbf 12:31-Riesa 13:03-Dresden Hbf 13:39,8010085,arr,Wiesbaden Hbf,3,13:39,20.06.19,Dresden%238010085,0,ICE
4701, Grund: Warten auf Fahrgäste aus einem anderen Zug,13:41,ICE 1557,Wiesbaden Hbf 08:26-Mainz Hbf 08:43-Frankfurt(M) Flughafen Fernbf 09:02-Frankfurt(Main)Hbf 09:20-Fulda 10:14-Bad Hersfeld 10:40-Eisenach 11:09-Gotha 11:23-Erfurt Hbf 11:40-Leipzig Hbf 12:31-Riesa 13:03-Dresden Hbf 13:39,8010085,arr,Wiesbaden Hbf,3,13:39,20.06.19,Dresden%238010085,2,ICE
5169, ,,ICE 1557,Wiesbaden Hbf 08:26-Mainz Hbf 08:43-Frankfurt(M) Flughafen Fernbf 09:02-Frankfurt(Main)Hbf 09:20-Fulda 10:14-Bad Hersfeld 10:40-Eisenach 11:09-Gotha 11:23-Erfurt Hbf 11:40-Leipzig Hbf 12:31-Riesa 13:03-Dresden Hbf 13:39,8010085,arr,Wiesbaden Hbf,3,13:39,20.06.19,Dresden%238010085,0,ICE
6238, ,,ICE 1556,Dresden Hbf 14:10-Riesa 14:46-Leipzig Hbf 15:24-Erfurt Hbf 16:15-Gotha 16:31-Eisenach 16:46-Bad Hersfeld 17:15-Fulda 17:41-Frankfurt(Main)Hbf 18:36-Frankfurt(M) Flughafen Fernbf 18:55-Mainz Hbf 19:15-Wiesbaden Hbf 19:33,8010085,dep,Wiesbaden Hbf,3,14:10,20.06.19,Dresden%238010085,0,ICE
8585, Grund: Technische Störung an einem anderen Zug,15:44,ICE 1559,Wiesbaden Hbf 10:26-Mainz Hbf 10:43-Frankfurt(M) Flughafen Fernbf 11:02-Frankfurt(Main)Hbf 11:19-Fulda 12:14-Bad Hersfeld 12:40-Eisenach 13:09-Gotha 13:23-Erfurt Hbf 13:40-Leipzig Hbf 14:31-Riesa 15:03-Dresden Hbf 15:39,8010085,arr,Wiesbaden Hbf,3,15:39,20.06.19,Dresden%238010085,5,ICE
9353, Grund: Technische Störung an einem anderen Zug,15:43,ICE 1559,Wiesbaden Hbf 10:26-Mainz Hbf 10:43-Frankfurt(M) Flughafen Fernbf 11:02-Frankfurt(Main)Hbf 11:19-Fulda 12:14-Bad Hersfeld 12:40-Eisenach 13:09-Gotha 13:23-Erfurt Hbf 13:40-Leipzig Hbf 14:31-Riesa 15:03-Dresden Hbf 15:39,8010085,arr,Wiesbaden Hbf,3,15:39,20.06.19,Dresden%238010085,4,ICE
9659, ,,ICE 1559,Wiesbaden Hbf 10:26-Mainz Hbf 10:43-Frankfurt(M) Flughafen Fernbf 11:02-Frankfurt(Main)Hbf 11:19-Fulda 12:14-Bad Hersfeld 12:40-Eisenach 13:09-Gotha 13:23-Erfurt Hbf 13:40-Leipzig Hbf 14:31-Riesa 15:03-Dresden Hbf 15:39,8010085,arr,Wiesbaden Hbf,3,15:39,20.06.19,Dresden%238010085,0,ICE
