,TAA,TA,TIN,TIR,TSI,TIM,TIRE,TIP,TIT,TID,TSC,TAc,Type
0, ,,ICE621,Essen Hbf 08:40-Duisburg Hbf 08:55-Düsseldorf Hbf 09:13-Köln Messe/Deutz Gl.11-12 09:36-Montabaur 10:04-Limburg Süd 10:14-Frankfurt(M) Flughafen Fernbf 10:36-Frankfurt(Main)Hbf 10:48,8000105.0,arr,Essen Hbf,7,10:48,20.06.19,Frankfurt%238000105,0,ICE
8, ,,ICE726,München Hbf 07:52-Nürnberg Hbf 09:02-Würzburg Hbf 09:55-Aschaffenburg Hbf 10:33-Frankfurt(Main)Hbf 11:04,8000105.0,arr,München Hbf,7,11:04,20.06.19,Frankfurt%238000105,0,ICE
13, Grund: Notarzteinsatz am Gleis,12:06,ICE372,Interlaken Ost 06:00-Interlaken West 06:05-Spiez 06:22-Thun 06:33-Bern 07:04-Olten 07:32-Liestal 07:48-Basel SBB 08:13-Basel Bad Bf 08:23-Freiburg(Breisgau) Hbf 08:57-Offenburg 09:30-Karlsruhe Hbf 10:00-Mannheim Hbf 10:32-Frankfurt(Main)Hbf 11:08,8000105.0,arr,Interlaken Ost,9,11:08,20.06.19,Frankfurt%238000105,58,ICE
15, ,11:13,ICE 1559,Wiesbaden Hbf 10:26-Mainz Hbf 10:43-Frankfurt(M) Flughafen Fernbf 11:02-Frankfurt(Main)Hbf 11:13,8000105.0,arr,Wiesbaden Hbf,6,11:13,20.06.19,Frankfurt%238000105,0,ICE
21, ,11:43,ICE 1575,Kassel-Wilhelmshöhe 09:03-Treysa 09:36-Stadtallendorf 09:50-Marburg(Lahn) 10:04-Gießen 10:22-Friedberg(Hess) 10:42-Frankfurt(Main)Hbf 11:17,8000105.0,arr,Kassel-Wilhelmshöhe,13,11:17,20.06.19,Frankfurt%238000105,26,ICE
36, ,11:31,ICE 13,Bruxelles Midi 08:23-Bruxelles-Nord 08:32-Liège-Guillemins 09:14-Aachen Hbf 09:39-Köln Hbf 10:28-Frankfurt(M) Flughafen Fernbf 11:18-Frankfurt(Main)Hbf 11:31,8000105.0,arr,Bruxelles Midi,18,11:31,20.06.19,Frankfurt%238000105,0,ICE
51, ,11:46,ICE595,Berlin Gesundbrunnen 07:20-Berlin Hbf (tief) 07:28-Berlin Südkreuz 07:35-Lutherstadt Wittenberg Hbf 08:11-Leipzig Hbf 08:48-Erfurt Hbf 09:30-Eisenach 09:56-Fulda 10:50-Frankfurt(Main)Hbf 11:44,8000105.0,arr,Berlin Gesundbrunnen,9,11:44,20.06.19,Frankfurt%238000105,2,ICE
58, Änderung im Fahrtverlauf!@@Grund: Technische Störung am Zug,12:12,ICE623,Essen Hbf 09:41-Duisburg Hbf 09:55-Düsseldorf Hbf 10:12-Köln Messe/Deutz Gl.11-12 (Halt entfällt) 10:34-Köln Hbf10:41-Köln Messe/Deutz10:42-Köln/Bonn Flughafen 10:45-Frankfurt(M) Flughafen Fernbf 11:36-Frankfurt(Main)Hbf 11:48,8000105.0,arr,Essen Hbf,5,11:48,20.06.19,Frankfurt%238000105,24,ICE
62, Fährt heute erst ab Basel SBB@@Grund: Notarzteinsatz am Gleis,12:55,ICE 76,Zürich HB (Halt entfällt) 08:00-Basel SBB 09:06-Basel Bad Bf 09:15-Freiburg(Breisgau) Hbf 09:49-Baden-Baden 10:34-Karlsruhe Hbf 10:51-Mannheim Hbf 11:16-Frankfurt(Main)Hbf 11:52,8000105.0,arr,Zürich HB,8,11:52,20.06.19,Frankfurt%238000105,63,ICE
67, Fährt heute erst ab Hamburg Hbf@@Grund: Verspätung eines vorausfahrenden Zuges,12:21,ICE 73,Kiel Hbf (Halt entfällt) 06:45-Neumünster (Halt entfällt) 07:04-Hamburg Dammtor (Halt entfällt) 07:55-Hamburg Hbf 08:03-Hamburg-Harburg 08:14-Hannover Hbf 09:24-Göttingen 10:18-Kassel-Wilhelmshöhe 10:39-Frankfurt(Main)Hbf 12:00,8000105.0,arr,Kiel Hbf,6,12:00,20.06.19,Frankfurt%238000105,21,ICE
