,TAA,TA,TIN,TIR,TSI,TIM,TIRE,TIP,TIT,TID,TSC,TAc,Type
0, Grund: Oberleitungsstörung,11:17,ICE774,Stuttgart Hbf 05:02-Vaihingen(Enz) 05:19-Heidelberg Hbf 05:47-Mannheim Hbf 06:05-Frankfurt(M) Flughafen Fernbf 06:42-Frankfurt(Main)Hbf 06:58-Kassel-Wilhelmshöhe 08:21-Göttingen 08:41-Hannover Hbf 09:37-Hamburg Hbf 10:54Hamburg Hbf: Information. Weitere Informationen,8002549.0,arr,Stuttgart Hbf,8,10:54,20.06.19,Hamburg%238002549,23,ICE
31, Grund: Technische Störung an der Strecke,12:31,ICE 1604,Nürnberg Hbf 05:45-Erlangen 06:00-Bamberg 06:22-Coburg 06:44-Erfurt Hbf 07:27-Leipzig Hbf 08:18-Lutherstadt Wittenberg Hbf 08:48-Berlin Südkreuz 09:25-Berlin Hbf (tief) 09:40-Berlin-Spandau 09:50-Hamburg Hbf 11:24,8002549.0,arr,Nürnberg Hbf,8,11:24,20.06.19,Hamburg%238002549,67,ICE
32, ,12:31,ICE 1704,Jena Paradies 06:52-Naumburg(Saale)Hbf 07:19-Weißenfels 07:29-Leipzig Hbf 08:18-Lutherstadt Wittenberg Hbf 08:48-Berlin Südkreuz 09:25-Berlin Hbf (tief) 09:40-Berlin-Spandau 09:50-Hamburg Hbf 11:24,8002549.0,arr,Jena Paradies,8,11:24,20.06.19,Hamburg%238002549,67,ICE
40, Grund: Verzögerung beim Ein-/Ausstieg,11:45,ICE 1684,München Hbf 05:16-Ingolstadt Hbf 05:58-Nürnberg Hbf 06:33-Würzburg Hbf 07:27-Fulda 08:03-Kassel-Wilhelmshöhe 08:36-Göttingen 08:56-Hannover Hbf 09:59-Celle 10:20-Uelzen 10:42-Lüneburg 10:58-Hamburg Hbf 11:29Hamburg Hbf: Information. Hamburg Hbf: Information. Weitere Informationen,8002549.0,arr,München Hbf,14,11:29,20.06.19,Hamburg%238002549,16,ICE
69, Grund: Verspätung eines vorausfahrenden Zuges,12:10,ICE674,Karlsruhe Hbf 06:51-Mannheim Hbf 07:16-Frankfurt(Main)Hbf 07:58-Kassel-Wilhelmshöhe 09:21-Göttingen 09:41-Hannover Hbf 10:37-Lüneburg 11:28-Hamburg-Harburg 11:46-Hamburg Hbf 11:56Lüneburg - Hamburg Hbf: Information. Weitere Informationen,8002549.0,arr,Karlsruhe Hbf,11,11:56,20.06.19,Hamburg%238002549,14,ICE
75, Ersatzfahrt für ICE  587,,ICE 2911,Hamburg Hbf 10:28-Hamburg-Harburg 10:38-Lüneburg 10:57-Uelzen 11:13-Celle 11:36-Hannover Hbf 11:57-Göttingen 13:00-Kassel-Wilhelmshöhe 13:21-Fulda 13:54-Würzburg Hbf 14:30-Nürnberg Hbf 15:25-München Hbf 17:36,8002549.0,dep,München Hbf,11,10:28,20.06.19,Hamburg%238002549,0,ICE
110, Grund: Verspätung aus vorheriger Fahrt,11:33,ICE789,Hamburg Hbf 11:28-Lüneburg 11:57-Uelzen 12:13-Celle 12:36-Hannover Hbf 12:58-Göttingen 14:00-Kassel-Wilhelmshöhe 14:21-Fulda 14:54-Würzburg Hbf 15:29-Nürnberg Hbf 16:24-Ingolstadt Hbf 16:59-München Hbf 17:41,8002549.0,dep,München Hbf,11,11:28,20.06.19,Hamburg%238002549,5,ICE
121, ,,ICE707,Hamburg Hbf 11:36-Berlin-Spandau 13:10-Berlin Hbf (tief) 13:22-Berlin Südkreuz 13:42-Bitterfeld 14:32-Erfurt Hbf 15:24-Bamberg 16:16-Nürnberg Hbf 16:54-München Hbf 17:59,8002549.0,dep,München Hbf,6,11:36,20.06.19,Hamburg%238002549,0,ICE
150, Grund: Verspätung eines vorausfahrenden Zuges,12:14,ICE674,Hamburg Hbf 11:59-Hamburg Dammtor 12:02-Neumünster 12:50-Kiel Hbf 13:09,8002549.0,dep,Kiel Hbf,11,11:59,20.06.19,Hamburg%238002549,15,ICE
525, Grund: Verspätung eines vorausfahrenden Zuges,12:09,ICE674,Karlsruhe Hbf 06:51-Mannheim Hbf 07:16-Frankfurt(Main)Hbf 07:58-Kassel-Wilhelmshöhe 09:21-Göttingen 09:41-Hannover Hbf 10:37-Lüneburg 11:28-Hamburg-Harburg 11:46-Hamburg Hbf 11:56Lüneburg - Hamburg Hbf: Information. Weitere Informationen,8002549.0,arr,Karlsruhe Hbf,11,11:56,20.06.19,Hamburg%238002549,13,ICE
606, Grund: Verspätung eines vorausfahrenden Zuges,12:12,ICE674,Hamburg Hbf 11:59-Hamburg Dammtor 12:02-Neumünster 12:50-Kiel Hbf 13:09,8002549.0,dep,Kiel Hbf,11,11:59,20.06.19,Hamburg%238002549,13,ICE
760, ,,ICE774,Stuttgart Hbf 05:02-Vaihingen(Enz) 05:19-Heidelberg Hbf 05:47-Mannheim Hbf 06:05-Frankfurt(M) Flughafen Fernbf 06:42-Frankfurt(Main)Hbf 06:58-Kassel-Wilhelmshöhe 08:21-Göttingen 08:41-Hannover Hbf 09:37-Hamburg Hbf 10:54,8002549.0,arr,Stuttgart Hbf,8,10:54,20.06.19,Hamburg%238002549,0,ICE
791, Grund: Technische Störung an der Strecke,12:33,ICE 1604,Nürnberg Hbf 05:45-Erlangen 06:00-Bamberg 06:22-Coburg 06:44-Erfurt Hbf 07:27-Leipzig Hbf 08:18-Lutherstadt Wittenberg Hbf 08:48-Berlin Südkreuz 09:25-Berlin Hbf (tief) 09:40-Berlin-Spandau 09:50-Hamburg Hbf 11:24,8002549.0,arr,Nürnberg Hbf,8,11:24,20.06.19,Hamburg%238002549,69,ICE
792, ,12:33,ICE 1704,Jena Paradies 06:52-Naumburg(Saale)Hbf 07:19-Weißenfels 07:29-Leipzig Hbf 08:18-Lutherstadt Wittenberg Hbf 08:48-Berlin Südkreuz 09:25-Berlin Hbf (tief) 09:40-Berlin-Spandau 09:50-Hamburg Hbf 11:24,8002549.0,arr,Jena Paradies,8,11:24,20.06.19,Hamburg%238002549,69,ICE
800, Grund: Verzögerung beim Ein-/Ausstieg,11:44,ICE 1684,München Hbf 05:16-Ingolstadt Hbf 05:58-Nürnberg Hbf 06:33-Würzburg Hbf 07:27-Fulda 08:03-Kassel-Wilhelmshöhe 08:36-Göttingen 08:56-Hannover Hbf 09:59-Celle 10:20-Uelzen 10:42-Lüneburg 10:58-Hamburg Hbf 11:29Hamburg Hbf: Information. Hamburg Hbf: Information. Weitere Informationen,8002549.0,arr,München Hbf,14,11:29,20.06.19,Hamburg%238002549,15,ICE
870, Grund: Verspätung aus vorheriger Fahrt,11:34,ICE789,Hamburg Hbf 11:28-Lüneburg 11:57-Uelzen 12:13-Celle 12:36-Hannover Hbf 12:58-Göttingen 14:00-Kassel-Wilhelmshöhe 14:21-Fulda 14:54-Würzburg Hbf 15:29-Nürnberg Hbf 16:24-Ingolstadt Hbf 16:59-München Hbf 17:41,8002549.0,dep,München Hbf,11,11:28,20.06.19,Hamburg%238002549,6,ICE
881, Grund: Verspätung eines vorausfahrenden Zuges,11:38,ICE707,Hamburg Hbf 11:36-Berlin-Spandau 13:10-Berlin Hbf (tief) 13:22-Berlin Südkreuz 13:42-Bitterfeld 14:32-Erfurt Hbf 15:24-Bamberg 16:16-Nürnberg Hbf 16:54-München Hbf 17:59,8002549.0,dep,München Hbf,6,11:36,20.06.19,Hamburg%238002549,2,ICE
1062, Grund: Verspätung eines vorausfahrenden Zuges,12:13,ICE674,Hamburg Hbf 11:59-Hamburg Dammtor 12:02-Neumünster 12:50-Kiel Hbf 13:09,8002549.0,dep,Kiel Hbf,11,11:59,20.06.19,Hamburg%238002549,14,ICE
