,TAA,TA,TIN,TIR,TSI,TIM,TIRE,TIP,TIT,TID,TSC,TAc,Type
1, ,,ICE886,München Hbf 06:16-Ingolstadt Hbf 06:54-Nürnberg Hbf 07:33-Würzburg Hbf 08:28-Fulda 09:04-Kassel-Wilhelmshöhe 09:36-Göttingen 09:56-Hannover Hbf 10:56,8000152.0,arr,München Hbf,8,10:56,20.06.19,Hannover%238000152,0,ICE
2, ,,ICE787,Hamburg-Altona 09:10-Hamburg Dammtor 09:19-Hamburg Hbf 09:28-Hamburg-Harburg 09:40-Lüneburg 09:59-Uelzen 10:15-Celle 10:38-Hannover Hbf 10:58,8000152.0,arr,Hamburg-Altona,4,10:58,20.06.19,Hannover%238000152,0,ICE
15, Grund: Signalstörung,11:35,ICE 75,Hamburg-Altona 09:46-Hamburg Dammtor 09:54-Hamburg Hbf 10:01-Hamburg-Harburg 10:12-Hannover Hbf 11:21,8000152.0,arr,Hamburg-Altona,4,11:21,20.06.19,Hannover%238000152,14,ICE
20, ,11:30,ICE555,Köln Hbf 08:48-Wuppertal Hbf 09:16-Hamm(Westf) 10:02-Bielefeld Hbf 10:34-Hannover Hbf 11:28Hannover Hbf: Information. Weitere Informationen,8000152.0,arr,Köln Hbf,9,11:28,20.06.19,Hannover%238000152,2,ICE
21, ,11:28,ICE942,Berlin Hbf (tief) 09:50-Berlin-Spandau 10:00-Wolfsburg Hbf 10:53-Hannover Hbf 11:28,8000152.0,arr,Berlin Hbf (tief),12,11:28,20.06.19,Hannover%238000152,0,ICE
25, ,11:40,ICE772,Stuttgart Hbf 07:24-Mannheim Hbf 08:05-Frankfurt(M) Flughafen Fernbf 08:42-Frankfurt(Main)Hbf 08:58-Kassel-Wilhelmshöhe 10:21-Göttingen 10:41-Hannover Hbf 11:34Hannover Hbf: Information. Weitere Informationen,8000152.0,arr,Stuttgart Hbf,7,11:34,20.06.19,Hannover%238000152,6,ICE
32, Grund: Polizeiliche Ermittlung,12:13,ICE 1682,München Hbf 07:19-Ingolstadt Hbf 07:57-Nürnberg Hbf 08:32-Würzburg Hbf 09:27-Fulda 10:04-Kassel-Wilhelmshöhe 10:36-Göttingen 10:56-Hannover Hbf 11:54Hannover Hbf: Information. Hannover Hbf: Information. Hannover Hbf: Information. Weitere Informationen,8000152.0,arr,München Hbf,8,11:54,20.06.19,Hannover%238000152,19,ICE
36, Ersatzfahrt für ICE  587@@Grund: Verspätete Bereitstellung des Zuges,12:32,ICE 2911,Hamburg-Altona 10:12-Hamburg Dammtor 10:21-Hamburg Hbf 10:28-Hamburg-Harburg 10:40-Lüneburg 10:59-Uelzen 11:15-Celle 11:38-Hannover Hbf 11:57,8000152.0,arr,Hamburg-Altona,4,11:57,20.06.19,Hannover%238000152,35,ICE
39, ,,ICE886,Hannover Hbf 10:59-Celle 11:18-Uelzen 11:41-Lüneburg 11:57-Hamburg-Harburg 12:18-Hamburg Hbf 12:30-Hamburg Dammtor 12:36-Hamburg-Altona 12:45,8000152.0,dep,Hamburg-Altona,8,10:59,20.06.19,Hannover%238000152,0,ICE
40, ,,ICE787,Hannover Hbf 11:01-Göttingen 12:00-Kassel-Wilhelmshöhe 12:21-Fulda 12:54-Würzburg Hbf 13:29-Nürnberg Hbf 14:24-Ingolstadt Hbf 14:58-München Hbf 15:39,8000152.0,dep,München Hbf,4,11:01,20.06.19,Hannover%238000152,0,ICE
