,TAA,TA,TIN,TIR,TSI,TIM,TIRE,TIP,TIT,TID,TSC,TAc,Type
0, Änderung im Fahrtverlauf!@@Grund: Technische Störung am Zug@@Gleiswechsel,11:05,ICE623,Essen Hbf 09:41-Duisburg Hbf 09:55-Düsseldorf Hbf 10:12-Köln Messe/Deutz Gl.11-12 (Halt entfällt) 10:34-Köln Hbf10:40,8000207.0,arr,Essen Hbf,5 D-G,10:40,20.06.19,Koeln%238000207,25,ICE
6, ,11:05,ICE202,Basel SBB 07:13-Basel Bad Bf 07:22-Freiburg(Breisgau) Hbf 07:54-Offenburg 08:26-Baden-Baden 08:42-Karlsruhe Hbf 09:00-Mannheim Hbf 09:35-Frankfurt(M) Flughafen Fernbf 10:09-Siegburg/Bonn 10:47-Köln Hbf 11:05,8000207.0,arr,Basel SBB,4,11:05,20.06.19,Koeln%238000207,0,ICE
11, ,11:15,ICE654,Berlin Gesundbrunnen 06:35-Berlin Hbf (tief) 06:50-Berlin-Spandau 07:02-Wolfsburg Hbf 07:53-Hannover Hbf 08:31-Bielefeld Hbf 09:26-Hamm(Westf) 09:56-Wuppertal Hbf 10:40-Köln Hbf 11:09,8000207.0,arr,Berlin Gesundbrunnen,6,11:09,20.06.19,Koeln%238000207,6,ICE
32, ,11:35,ICE 16,Frankfurt(Main)Hbf 10:29-Frankfurt(M) Flughafen Fernbf 10:43-Köln Hbf 11:33,8000207.0,arr,Frankfurt(Main)Hbf,6,11:33,20.06.19,Koeln%238000207,2,ICE
46, ,11:51,ICE517,Dortmund Hbf 10:35-Bochum Hbf 10:48-Essen Hbf 11:00-Duisburg Hbf 11:13-Düsseldorf Hbf 11:27-Köln Hbf 11:49,8000207.0,arr,Dortmund Hbf,6,11:49,20.06.19,Koeln%238000207,2,ICE
55, Änderung im Fahrtverlauf!@@Grund: Technische Störung am Zug@@Gleiswechsel,11:05,ICE623,Köln Hbf10:41-Köln Messe/Deutz10:42-Köln/Bonn Flughafen 10:43-Frankfurt(M) Flughafen Fernbf 11:33-Frankfurt(Main)Hbf 11:48-Aschaffenburg Hbf 12:22-Würzburg Hbf 13:04-Nürnberg Hbf 14:04-München Hbf 15:09,8000207.0,dep,München Hbf,5 D-G,10:41,20.06.19,Koeln%238000207,24,ICE
56, ,,ICE105,Köln Hbf 10:55-Siegburg/Bonn 11:08-Frankfurt(M) Flughafen Fernbf 11:49-Mannheim Hbf 12:23-Karlsruhe Hbf 12:58-Offenburg 13:27-Freiburg(Breisgau) Hbf 13:59-Basel Bad Bf 14:34-Basel SBB 14:47,8000207.0,dep,Basel SBB,6,10:55,20.06.19,Koeln%238000207,0,ICE
92, ,11:43,ICE 16,Köln Hbf 11:43-Aachen Hbf 12:16-Liège-Guillemins 12:44-Bruxelles-Nord 13:26-Bruxelles Midi 13:35Köln Hbf - Bruxelles-Nord: Information. Weitere Informationen,8000207.0,dep,Bruxelles Midi,6,11:43,20.06.19,Koeln%238000207,0,ICE
103, ,11:57,ICE517,Köln Hbf 11:55-Siegburg/Bonn 12:08-Frankfurt(M) Flughafen Fernbf 12:49-Mannheim Hbf 13:23-Stuttgart Hbf 14:08-Ulm Hbf 15:10-Augsburg Hbf 15:53-München-Pasing 16:18-München Hbf 16:27,8000207.0,dep,München Hbf,6,11:55,20.06.19,Koeln%238000207,2,ICE
119, ,11:14,ICE654,Berlin Gesundbrunnen 06:35-Berlin Hbf (tief) 06:50-Berlin-Spandau 07:02-Wolfsburg Hbf 07:53-Hannover Hbf 08:31-Bielefeld Hbf 09:26-Hamm(Westf) 09:56-Wuppertal Hbf 10:40-Köln Hbf 11:09,8000207.0,arr,Berlin Gesundbrunnen,6,11:09,20.06.19,Koeln%238000207,5,ICE
249, ,11:33,ICE 16,Frankfurt(Main)Hbf 10:29-Frankfurt(M) Flughafen Fernbf 10:43-Köln Hbf 11:33,8000207.0,arr,Frankfurt(Main)Hbf,6,11:33,20.06.19,Koeln%238000207,0,ICE
326, ,,ICE623,Essen Hbf 09:41-Duisburg Hbf 09:55-Düsseldorf Hbf 10:12-Köln Messe/Deutz Gl.11-12 (Halt entfällt) 10:34-Köln Hbf10:40,8000207.0,arr,Essen Hbf,5,10:40,20.06.19,Koeln%238000207,0,ICE
332, ,,ICE202,Basel SBB 07:13-Basel Bad Bf 07:22-Freiburg(Breisgau) Hbf 07:54-Offenburg 08:26-Baden-Baden 08:42-Karlsruhe Hbf 09:00-Mannheim Hbf 09:35-Frankfurt(M) Flughafen Fernbf 10:09-Siegburg/Bonn 10:47-Köln Hbf 11:05,8000207.0,arr,Basel SBB,4,11:05,20.06.19,Koeln%238000207,0,ICE
382, ,,ICE623,Köln Hbf10:41-Köln Messe/Deutz10:42-Köln/Bonn Flughafen 10:43-Frankfurt(M) Flughafen Fernbf 11:33-Frankfurt(Main)Hbf 11:48-Aschaffenburg Hbf 12:22-Würzburg Hbf 13:04-Nürnberg Hbf 14:04-München Hbf 15:09,8000207.0,dep,München Hbf,5,10:41,20.06.19,Koeln%238000207,0,ICE
768, ,11:12,ICE202,Basel SBB 07:13-Basel Bad Bf 07:22-Freiburg(Breisgau) Hbf 07:54-Offenburg 08:26-Baden-Baden 08:42-Karlsruhe Hbf 09:00-Mannheim Hbf 09:35-Frankfurt(M) Flughafen Fernbf 10:09-Siegburg/Bonn 10:47-Köln Hbf 11:05,8000207.0,arr,Basel SBB,4,11:05,20.06.19,Koeln%238000207,7,ICE
877, ,11:13,ICE202,Basel SBB 07:13-Basel Bad Bf 07:22-Freiburg(Breisgau) Hbf 07:54-Offenburg 08:26-Baden-Baden 08:42-Karlsruhe Hbf 09:00-Mannheim Hbf 09:35-Frankfurt(M) Flughafen Fernbf 10:09-Siegburg/Bonn 10:47-Köln Hbf 11:05,8000207.0,arr,Basel SBB,4,11:05,20.06.19,Koeln%238000207,8,ICE
1121, ,11:36,ICE 16,Frankfurt(Main)Hbf 10:29-Frankfurt(M) Flughafen Fernbf 10:43-Köln Hbf 11:33,8000207.0,arr,Frankfurt(Main)Hbf,6,11:33,20.06.19,Koeln%238000207,3,ICE
1318, ,,ICE654,Berlin Gesundbrunnen 06:35-Berlin Hbf (tief) 06:50-Berlin-Spandau 07:02-Wolfsburg Hbf 07:53-Hannover Hbf 08:31-Bielefeld Hbf 09:26-Hamm(Westf) 09:56-Wuppertal Hbf 10:40-Köln Hbf 11:09,8000207.0,arr,Berlin Gesundbrunnen,6,11:09,20.06.19,Koeln%238000207,0,ICE
1536, ,11:19,ICE654,Berlin Gesundbrunnen 06:35-Berlin Hbf (tief) 06:50-Berlin-Spandau 07:02-Wolfsburg Hbf 07:53-Hannover Hbf 08:31-Bielefeld Hbf 09:26-Hamm(Westf) 09:56-Wuppertal Hbf 10:40-Köln Hbf 11:09,8000207.0,arr,Berlin Gesundbrunnen,6,11:09,20.06.19,Koeln%238000207,10,ICE
1993, ,11:37,ICE 16,Frankfurt(Main)Hbf 10:29-Frankfurt(M) Flughafen Fernbf 10:43-Köln Hbf 11:33,8000207.0,arr,Frankfurt(Main)Hbf,6,11:33,20.06.19,Koeln%238000207,4,ICE
2766, ,11:49,ICE517,Dortmund Hbf 10:35-Bochum Hbf 10:48-Essen Hbf 11:00-Duisburg Hbf 11:13-Düsseldorf Hbf 11:27-Köln Hbf 11:49,8000207.0,arr,Dortmund Hbf,6,11:49,20.06.19,Koeln%238000207,0,ICE
2968, ,,ICE 16,Frankfurt(Main)Hbf 10:29-Frankfurt(M) Flughafen Fernbf 10:43-Köln Hbf 11:33,8000207.0,arr,Frankfurt(Main)Hbf,6,11:33,20.06.19,Koeln%238000207,0,ICE
3191, ,,ICE 16,Köln Hbf 11:43-Aachen Hbf 12:16-Liège-Guillemins 12:44-Bruxelles-Nord 13:26-Bruxelles Midi 13:35Aachen Hbf - Bruxelles-Nord: Information. Weitere Informationen,8000207.0,dep,Bruxelles Midi,6,11:43,20.06.19,Koeln%238000207,0,ICE
3202, ,11:55,ICE517,Köln Hbf 11:55-Siegburg/Bonn 12:08-Frankfurt(M) Flughafen Fernbf 12:49-Mannheim Hbf 13:23-Stuttgart Hbf 14:08-Ulm Hbf 15:10-Augsburg Hbf 15:53-München-Pasing 16:18-München Hbf 16:27,8000207.0,dep,München Hbf,6,11:55,20.06.19,Koeln%238000207,0,ICE
