,TAA,TA,TIN,TIR,TSI,TIM,TIRE,TIP,TIT,TID,TSC,TAc,Type
6, ,11:15,ICE 1654,Dresden Hbf 06:10-Dresden-Neustadt 06:16-Riesa 06:48-Leipzig Hbf 07:33-Erfurt Hbf 08:17-Gotha 08:33-Eisenach 08:48-Bad Hersfeld 09:16-Fulda 09:43-Frankfurt(Main)Hbf 10:42-Frankfurt(M) Flughafen Fernbf 10:58-Mainz Hbf 11:15,8000240,arr,Dresden Hbf,2a/b,11:15,20.06.19,Mainz%238000240,0,ICE
13, ,11:39,ICE 27,Dortmund Hbf 08:34-Hagen Hbf 08:57-Wuppertal Hbf 09:14-Solingen Hbf 09:27-Köln Hbf 09:53-Bonn Hbf 10:14-Koblenz Hbf 10:48-Mainz Hbf 11:39,8000240,arr,Dortmund Hbf,4a/b,11:39,20.06.19,Mainz%238000240,0,ICE
30, ,11:22,ICE 1654,Mainz Hbf 11:22-Wiesbaden Hbf 11:33,8000240,dep,Wiesbaden Hbf,2a/b,11:22,20.06.19,Mainz%238000240,0,ICE
36, ,11:42,ICE 27,Mainz Hbf 11:42-Frankfurt(M) Flughafen Fernbf 11:59-Frankfurt(Main)Hbf 12:13-Hanau Hbf 12:35-Würzburg Hbf 13:32-Nürnberg Hbf 14:27-Regensburg Hbf 15:24-Plattling 15:57-Passau Hbf 16:26-Linz Hbf 17:24-St.Pölten Hbf 18:14-Wien Meidling 18:38-Wien Hbf 18:45,8000240,dep,Wien Hbf,4a/b,11:42,20.06.19,Mainz%238000240,0,ICE
135, ,,ICE 1654,Dresden Hbf 06:10-Dresden-Neustadt 06:16-Riesa 06:48-Leipzig Hbf 07:33-Erfurt Hbf 08:17-Gotha 08:33-Eisenach 08:48-Bad Hersfeld 09:16-Fulda 09:43-Frankfurt(Main)Hbf 10:42-Frankfurt(M) Flughafen Fernbf 10:58-Mainz Hbf 11:15,8000240,arr,Dresden Hbf,2a/b,11:15,20.06.19,Mainz%238000240,0,ICE
460, ,,ICE 1654,Mainz Hbf 11:22-Wiesbaden Hbf 11:33,8000240,dep,Wiesbaden Hbf,2a/b,11:22,20.06.19,Mainz%238000240,0,ICE
1131, ,,ICE 27,Dortmund Hbf 08:34-Hagen Hbf 08:57-Wuppertal Hbf 09:14-Solingen Hbf 09:27-Köln Hbf 09:53-Bonn Hbf 10:14-Koblenz Hbf 10:48-Mainz Hbf 11:39,8000240,arr,Dortmund Hbf,4a/b,11:39,20.06.19,Mainz%238000240,0,ICE
1283, ,,ICE 27,Mainz Hbf 11:42-Frankfurt(M) Flughafen Fernbf 11:59-Frankfurt(Main)Hbf 12:13-Hanau Hbf 12:35-Würzburg Hbf 13:32-Nürnberg Hbf 14:27-Regensburg Hbf 15:24-Plattling 15:57-Passau Hbf 16:26-Linz Hbf 17:24-St.Pölten Hbf 18:14-Wien Meidling 18:38-Wien Hbf 18:45,8000240,dep,Wien Hbf,4a/b,11:42,20.06.19,Mainz%238000240,0,ICE
2237, ,,ICE 1651,Wiesbaden Hbf 12:26-Mainz Hbf 12:36,8000240,arr,Wiesbaden Hbf,4a/b,12:36,20.06.19,Mainz%238000240,0,ICE
2260, ,,ICE 1651,Mainz Hbf 12:43-Frankfurt(M) Flughafen Fernbf 13:00-Frankfurt(Main)Hbf 13:13-Fulda 14:12-Bad Hersfeld 14:39-Eisenach 15:07-Gotha 15:21-Erfurt Hbf 15:38-Leipzig Hbf 16:24-Riesa 17:01-Dresden-Neustadt 17:33-Dresden Hbf 17:39,8000240,dep,Dresden Hbf,4a/b,12:43,20.06.19,Mainz%238000240,0,ICE
