,TAA,TA,TIN,TIR,TSI,TIM,TIRE,TIP,TIT,TID,TSC,TAc,Type
9, ,,ICE593,Berlin Gesundbrunnen 05:19-Berlin Hbf (tief) 05:28-Berlin Südkreuz 05:35-Lutherstadt Wittenberg Hbf 06:11-Leipzig Hbf 06:48-Erfurt Hbf 07:30-Eisenach 07:56-Fulda 08:50-Frankfurt(Main)Hbf 09:50-Mannheim Hbf 10:30-Stuttgart Hbf 11:08,8098096.0,arr,Berlin Gesundbrunnen,16Stuttgart Hbf,11:08,20.06.19,Stuttgart%238098096,0,ICE
18, ,11:22,ICE 1011,Münster(Westf)Hbf 07:27-Recklinghausen Hbf 07:58-Wanne-Eickel Hbf 08:06-Gelsenkirchen Hbf 08:12-Essen Hbf 08:23-Duisburg Hbf 08:38-Düsseldorf Hbf 08:52-Köln Messe/Deutz Gl.11-12 09:17-Frankfurt(M) Flughafen Fernbf 10:09-Mannheim Hbf 10:41-Stuttgart Hbf 11:22,8098096.0,arr,Münster(Westf)Hbf,10Stuttgart Hbf,11:22,20.06.19,Stuttgart%238098096,0,ICE
37, ,11:45,ICE610,München Hbf 09:28-München-Pasing 09:36-Augsburg Hbf 10:03-Ulm Hbf 10:48-Stuttgart Hbf 11:45,8098096.0,arr,München Hbf,10Stuttgart Hbf,11:45,20.06.19,Stuttgart%238098096,0,ICE
51, Grund: Verzögerungen im Betriebsablauf,11:39,ICE 9574,Stuttgart Hbf 10:54-Karlsruhe Hbf 11:30-Strasbourg 12:13-Paris Est 14:05Karlsruhe Hbf - Paris Est: Störung. Weitere Informationen,8098096.0,dep,Paris Est,6Stuttgart Hbf,10:54,20.06.19,Stuttgart%238098096,45,ICE
62, ,11:14,ICE593,Stuttgart Hbf 11:14-Ulm Hbf 12:10-Augsburg Hbf 12:53-München-Pasing 13:18-München Hbf 13:27,8098096.0,dep,München Hbf,16Stuttgart Hbf,11:14,20.06.19,Stuttgart%238098096,0,ICE
89, Grund: Behobene technische Störung am Zug,11:53,ICE610,Stuttgart Hbf 11:51-Mannheim Hbf 12:28-Frankfurt(M) Flughafen Fernbf 13:06-Köln Hbf 14:05-Düsseldorf Hbf 14:31-Duisburg Hbf 14:45-Essen Hbf 14:57-Bochum Hbf 15:08-Dortmund Hbf 15:21,8098096.0,dep,Dortmund Hbf,10Stuttgart Hbf,11:51,20.06.19,Stuttgart%238098096,2,ICE
210, ,,ICE 1011,Münster(Westf)Hbf 07:27-Recklinghausen Hbf 07:58-Wanne-Eickel Hbf 08:06-Gelsenkirchen Hbf 08:12-Essen Hbf 08:23-Duisburg Hbf 08:38-Düsseldorf Hbf 08:52-Köln Messe/Deutz Gl.11-12 09:17-Frankfurt(M) Flughafen Fernbf 10:09-Mannheim Hbf 10:41-Stuttgart Hbf 11:22,8098096.0,arr,Münster(Westf)Hbf,10Stuttgart Hbf,11:22,20.06.19,Stuttgart%238098096,0,ICE
243, Grund: Verzögerungen im Betriebsablauf,11:39,ICE 9574,Stuttgart Hbf 10:54-Karlsruhe Hbf 11:30-Strasbourg 12:13-Paris Est 14:05Stuttgart Hbf: Information. Karlsruhe Hbf - Paris Est: Störung. Weitere Informationen,8098096.0,dep,Paris Est,6Stuttgart Hbf,10:54,20.06.19,Stuttgart%238098096,45,ICE
254, ,,ICE593,Stuttgart Hbf 11:14-Ulm Hbf 12:10-Augsburg Hbf 12:53-München-Pasing 13:18-München Hbf 13:27,8098096.0,dep,München Hbf,16Stuttgart Hbf,11:14,20.06.19,Stuttgart%238098096,0,ICE
813, Grund: Verzögerungen im Betriebsablauf,11:39,ICE 9574,Stuttgart Hbf 10:54-Karlsruhe Hbf 11:30-Strasbourg 12:13-Paris Est 14:05Stuttgart Hbf: Information. Strasbourg - Paris Est: Störung. Weitere Informationen,8098096.0,dep,Paris Est,6Stuttgart Hbf,10:54,20.06.19,Stuttgart%238098096,45,ICE
995, ,11:51,ICE610,Stuttgart Hbf 11:51-Mannheim Hbf 12:28-Frankfurt(M) Flughafen Fernbf 13:06-Köln Hbf 14:05-Düsseldorf Hbf 14:31-Duisburg Hbf 14:45-Essen Hbf 14:57-Bochum Hbf 15:08-Dortmund Hbf 15:21,8098096.0,dep,Dortmund Hbf,10Stuttgart Hbf,11:51,20.06.19,Stuttgart%238098096,0,ICE
1150, ,,ICE 9574,Stuttgart Hbf 10:54-Karlsruhe Hbf 11:30-Strasbourg 12:13-Paris Est 14:05Strasbourg - Paris Est: Störung. Weitere Informationen,8098096.0,dep,Paris Est,6Stuttgart Hbf,10:54,20.06.19,Stuttgart%238098096,0,ICE
1378, ,,ICE610,München Hbf 09:28-München-Pasing 09:36-Augsburg Hbf 10:03-Ulm Hbf 10:48-Stuttgart Hbf 11:45,8098096.0,arr,München Hbf,10Stuttgart Hbf,11:45,20.06.19,Stuttgart%238098096,0,ICE
