,Berlin.csv_TA,Berlin.csv_TIN,Bremen.csv_TA,Bremen.csv_TIN,Dresden.csv_TA,Dresden.csv_TIN,Frankfurt.csv_TA,Frankfurt.csv_TIN,Hamburg.csv_TA,Hamburg.csv_TIN,Hannover.csv_TA,Hannover.csv_TIN,Koeln.csv_TA,Koeln.csv_TIN,Mainz.csv_TA,Mainz.csv_TIN,Muenchen.csv_TA,Muenchen.csv_TIN,Stuttgart.csv_TA,Stuttgart.csv_TIN
09,,,,,,,,,,,,,,,,,1.0,1.0,,
10,,,,,0.0,1.0,0.0,3.0,1.0,2.0,0.0,3.0,2.0,3.0,,,,,1.0,2.0
11,9.0,12.0,6.0,7.0,1.0,2.0,18.0,21.0,9.0,11.0,17.0,21.0,13.0,14.0,8.0,8.0,7.0,11.0,13.0,20.0
12,11.0,12.0,5.0,7.0,1.0,2.0,13.0,19.0,10.0,11.0,16.0,17.0,13.0,15.0,0.0,4.0,2.0,10.0,11.0,19.0
13,9.0,14.0,6.0,7.0,1.0,2.0,12.0,19.0,8.0,13.0,18.0,20.0,12.0,15.0,8.0,10.0,3.0,10.0,10.0,17.0
14,11.0,13.0,5.0,7.0,1.0,2.0,12.0,19.0,6.0,9.0,17.0,19.0,14.0,18.0,6.0,8.0,4.0,8.0,14.0,19.0
15,10.0,13.0,6.0,7.0,1.0,2.0,8.0,17.0,7.0,10.0,17.0,21.0,12.0,17.0,3.0,4.0,5.0,11.0,12.0,18.0
16,7.0,11.0,5.0,7.0,1.0,2.0,13.0,22.0,9.0,15.0,12.0,23.0,12.0,17.0,5.0,8.0,1.0,8.0,10.0,20.0
17,8.0,12.0,6.0,7.0,1.0,2.0,14.0,21.0,9.0,11.0,16.0,23.0,11.0,15.0,4.0,4.0,3.0,11.0,12.0,18.0
18,11.0,19.0,5.0,9.0,1.0,2.0,13.0,23.0,10.0,13.0,16.0,23.0,11.0,18.0,4.0,10.0,4.0,9.0,11.0,19.0
19,9.0,12.0,4.0,7.0,1.0,2.0,13.0,19.0,9.0,13.0,19.0,22.0,13.0,16.0,5.0,6.0,3.0,12.0,12.0,18.0
20,6.0,11.0,2.0,4.0,1.0,1.0,11.0,20.0,3.0,9.0,13.0,20.0,9.0,13.0,3.0,6.0,3.0,8.0,7.0,17.0
21,6.0,8.0,4.0,8.0,1.0,2.0,8.0,17.0,3.0,9.0,7.0,14.0,7.0,12.0,2.0,4.0,1.0,6.0,11.0,14.0
22,3.0,7.0,2.0,3.0,1.0,1.0,5.0,11.0,4.0,11.0,0.0,3.0,6.0,11.0,2.0,4.0,2.0,6.0,6.0,11.0
23,2.0,4.0,4.0,6.0,1.0,2.0,3.0,11.0,2.0,2.0,0.0,4.0,3.0,6.0,4.0,5.0,2.0,5.0,0.0,5.0
