 Ersatzfahrt für ICE   79@@Grund: Signalstörung,21
 Ersatzfahrt für ICE  504,3
 Ersatzfahrt für ICE  504@@Gleiswechsel,1
 Ersatzfahrt für ICE  506,1
 Ersatzfahrt für ICE  506@@Grund: Bauarbeiten,5
 Ersatzfahrt für ICE  572@@Grund: Technische Störung an der Strecke,14
 Ersatzfahrt für ICE  572@@Grund: Technische Störung an der Strecke@@Gleiswechsel,5
 Ersatzfahrt für ICE  572@@Grund: Technische Störung an einem anderen Zug,9
 Ersatzfahrt für ICE  575@@Grund: Technische Störung am Zug,3
 Ersatzfahrt für ICE  575@@Grund: Technische Störung am Zug@@Gleiswechsel,4
 Ersatzfahrt für ICE  575@@Grund: Technische Störung an einem anderen Zug@@Gleiswechsel,1
 Ersatzfahrt für ICE  575@@Grund: Verzögerungen im Betriebsablauf,2
 Ersatzfahrt für ICE  576@@Grund: Technische Störung am Zug,8
 Ersatzfahrt für ICE  576@@Grund: Technische Störung am Zug@@Gleiswechsel,11
 Ersatzfahrt für ICE  576@@Grund: Verzögerungen im Betriebsablauf,7
 Ersatzfahrt für ICE  577@@Grund: Verzögerungen im Betriebsablauf,34
 Ersatzfahrt für ICE  578,2
 Ersatzfahrt für ICE  578@@Grund: Warten auf Fahrgäste aus einem anderen Zug,8
 Ersatzfahrt für ICE  578@@Grund: Warten auf Fahrgäste aus einem anderen Zug@@Gleiswechsel,5
 Ersatzfahrt für ICE  587@@Grund: Verspätete Bereitstellung des Zuges,13
 Ersatzfahrt für ICE  623@@Grund: Verzögerungen im Betriebsablauf,2
 Ersatzfahrt für ICE  786,2
 Ersatzfahrt für ICE  786@@Grund: Verspätete Bereitstellung des Zuges,7
 Ersatzfahrt für ICE  786@@Grund: Verspätete Bereitstellung des Zuges@@Gleiswechsel,1
 Ersatzfahrt für ICE  973@@Grund: Verspätung eines vorausfahrenden Zuges,8
 Ersatzfahrt für ICE  973@@Grund: Verspätung eines vorausfahrenden Zuges@@Gleiswechsel,3
 Ersatzfahrt für ICE  974@@Grund: Verspätung aus vorheriger Fahrt,4
 Ersatzfahrt für ICE  974@@Grund: Verspätung aus vorheriger Fahrt@@Gleiswechsel,1
 Ersatzfahrt für RE 11324,6
 Ersatzfahrt für RE 11326,2
 Ersatzfahrt für S      3,1
 Ersatzfahrt für S      5,7
 Ersatzfahrt für S      8@@Grund: Ärztliche Versorgung eines Fahrgastes,3
 Fährt heute erst ab Aachen Hbf,1
 Fährt heute erst ab Ansbach@@Grund: Türstörung,14
 Fährt heute erst ab Ansbach@@Grund: Türstörung@@Gleiswechsel,7
 Fährt heute erst ab Bad Schandau,11
 Fährt heute erst ab Bad Schandau@@Grund: Streckensperrung,2
 Fährt heute erst ab Bantorf@@Grund: Signalstörung,14
 Fährt heute erst ab Bantorf@@Grund: Verspätung aus vorheriger Fahrt,14
 Fährt heute erst ab Basel Bad Bf,1
 Fährt heute erst ab Basel Bad Bf@@Grund: Technische Störung am Zug,6
 Fährt heute erst ab Basel SBB@@Grund: Notarzteinsatz am Gleis,35
 Fährt heute erst ab Basel SBB@@Grund: Notarzteinsatz am Gleis@@Gleiswechsel,5
 Fährt heute erst ab Bonn Hbf@@Grund: Verspätung aus vorheriger Fahrt,2
 Fährt heute erst ab Bramsche,11
 Fährt heute erst ab Frankfurt-Rödelheim,1
 Fährt heute erst ab Freiburg(Breisgau) Hbf@@Grund: Technische Störung am Zug,3
 Fährt heute erst ab Hamburg Elbgaustraße,44
 Fährt heute erst ab Hamburg Hbf,2
 Fährt heute erst ab Hamburg Hbf@@Grund: Signalstörung,2
 Fährt heute erst ab Hamburg Hbf@@Grund: Verspätung aus vorheriger Fahrt,3
 Fährt heute erst ab Hamburg Hbf@@Grund: Verspätung eines vorausfahrenden Zuges,5
 Fährt heute erst ab Hamburg-Blankenese,10
 Fährt heute erst ab Hamburg-Eidelstedt,7
 Fährt heute erst ab Hannover Messe/Laatzen@@Grund: Verspätete Bereitstellung des Zuges,11
 Fährt heute erst ab Hannover Messe/Laatzen@@Grund: Verspätete Bereitstellung des Zuges@@Gleiswechsel,1
 Fährt heute erst ab Hausham,2
 Fährt heute erst ab Höllriegelskreuth,17
 Fährt heute erst ab Karlsruhe Hbf@@Grund: Signalstörung,7
 Fährt heute erst ab Kassel-Wilhelmshöhe@@Grund: Notarzteinsatz am Gleis,8
 Fährt heute erst ab Liège-Guillemins@@Grund: Verspätung im Ausland,6
 Fährt heute erst ab Liège-Guillemins@@Grund: Verspätung im Ausland@@Gleiswechsel,2
 Fährt heute erst ab Meißen,7
 Fährt heute erst ab Meißen@@Grund: Verspätung aus vorheriger Fahrt,23
 Fährt heute erst ab München Ost,1
 Fährt heute erst ab München Ost@@Grund: Oberleitungsstörung,1
 Fährt heute erst ab Neu-Edingen/Friedrichsfeld,29
 Fährt heute erst ab Neu-Edingen/Friedrichsfeld@@Grund: Verspätung eines vorausfahrenden Zuges,24
 Fährt heute erst ab Neu-Edingen/Friedrichsfeld@@Grund: Verzögerungen im Betriebsablauf,15
 Fährt heute erst ab Niedernhausen(Taunus)@@Gleiswechsel,1
