,TAA,TA,TIN,TIR,TSI,TIM,TIRE,TIP,TIT,TID,TSC,TAc,Type
6, ,,ICE553,Koblenz Hbf 05:45-Andernach 05:58-Bonn Hbf 06:23-Köln Hbf 06:48-Wuppertal Hbf 07:16-Hamm(Westf) 08:02-Bielefeld Hbf 08:34-Hannover Hbf 09:31-Berlin Hbf (tief) 11:05,8011160.0,arr,Koblenz Hbf,6Berlin Hbf (tief),11:05,20.06.19,Berlin%238011160,0,ICE
24, Grund: Technische Störung am Zug,11:57,ICE599,Hamburg-Altona 09:21-Hamburg Dammtor 09:29-Hamburg Hbf 09:36-Berlin-Spandau 11:12-Berlin Hbf (tief) 11:22,8011160.0,arr,Hamburg-Altona,1Berlin Hbf (tief),11:22,20.06.19,Berlin%238011160,35,ICE
30, ,11:26,ICE998,Frankfurt(Main)Hbf 06:00-Fulda 06:55-Kassel-Wilhelmshöhe 07:44-Göttingen 08:06-Hildesheim Hbf 09:09-Braunschweig Hbf 09:32-Berlin Hbf 11:26,8011160.0,arr,Frankfurt(Main)Hbf,11,11:26,20.06.19,Berlin%238011160,0,ICE
33, Grund: Warten auf Fahrgäste aus einem anderen Zug,11:31,ICE602,München Hbf 06:57-Nürnberg Hbf 08:04-Erlangen 08:19-Bamberg 08:42-Erfurt Hbf 09:28-Leipzig Hbf 10:16-Lutherstadt Wittenberg Hbf 10:48-Berlin Südkreuz 11:24-Berlin Hbf (tief) 11:29,8011160.0,arr,München Hbf,7Berlin Hbf (tief),11:29,20.06.19,Berlin%238011160,2,ICE
57, ,11:51,ICE 1006,München Hbf 07:52-Nürnberg Hbf 08:58-Erfurt Hbf 10:11-Berlin Hbf (tief) 11:51Berlin Hbf (tief): Information. Weitere Informationen,8011160.0,arr,München Hbf,5Berlin Hbf (tief),11:51,20.06.19,Berlin%238011160,0,ICE
61, ,11:58,ICE874,Karlsruhe Hbf 05:58-Mannheim Hbf 06:32-Frankfurt(Main)Hbf 07:14-Hanau Hbf 07:30-Fulda 08:12-Kassel-Wilhelmshöhe 08:45-Göttingen 09:04-Hildesheim Hbf 10:06-Braunschweig Hbf 10:29-Wolfsburg Hbf 10:48-Berlin Hbf 11:58,8011160.0,arr,Karlsruhe Hbf,11,11:58,20.06.19,Berlin%238011160,0,ICE
69, ,,ICE 1632,Berlin Hbf (tief) 11:04-Erfurt Hbf 12:48-Frankfurt(Main)Hbf 14:56,8011160.0,dep,Frankfurt(Main)Hbf,2Berlin Hbf (tief),11:04,20.06.19,Berlin%238011160,0,ICE
93, Grund: Technische Störung am Zug,12:02,ICE599,Berlin Hbf (tief) 11:28-Berlin Südkreuz 11:33-Bitterfeld 12:23-Leipzig Hbf 12:42-Erfurt Hbf 13:28-Eisenach 13:54-Fulda 14:48-Frankfurt(Main)Hbf 15:44-Mannheim Hbf 16:27-Stuttgart Hbf 17:08-Ulm Hbf 18:10-Augsburg Hbf 18:53-München-Pasing 19:18-München Hbf 19:27,8011160.0,dep,München Hbf,1Berlin Hbf (tief),11:28,20.06.19,Berlin%238011160,34,ICE
105, ,11:40,ICE602,Berlin Hbf (tief) 11:40-Berlin-Spandau 11:48-Hamburg Hbf 13:24-Hamburg Dammtor 13:31-Hamburg-Altona 13:39,8011160.0,dep,Hamburg-Altona,7Berlin Hbf (tief),11:40,20.06.19,Berlin%238011160,0,ICE
115, ,,ICE940,Berlin Hbf (tief) 11:49-Wolfsburg Hbf 12:52-Hannover Hbf 13:28-Bielefeld Hbf 14:24-Dortmund Hbf 15:10-Bochum Hbf 15:23-Essen Hbf 15:34-Duisburg Hbf 15:47-Düsseldorf Flughafen 15:57-Düsseldorf Hbf 16:06,8011160.0,dep,Düsseldorf Hbf,6Berlin Hbf (tief),11:49,20.06.19,Berlin%238011160,0,ICE
122, Grund: Verspätung aus vorheriger Fahrt,12:23,ICE373,Berlin Hbf 11:57-Wolfsburg Hbf 13:07-Braunschweig Hbf 13:25-Hildesheim Hbf 13:52-Göttingen 14:52-Kassel-Wilhelmshöhe 15:13-Fulda 15:45-Hanau Hbf 16:25-Frankfurt(Main)Hbf 16:44-Mannheim Hbf 17:27-Karlsruhe Hbf 17:58-Offenburg 18:28-Freiburg(Breisgau) Hbf 19:00-Basel Bad Bf 19:34-Basel SBB 19:47-Liestal 20:08-Olten 20:25-Bern 20:56-Thun 21:24-Spiez 21:35-Interlaken West 21:51-Interlaken Ost 21:57,8011160.0,dep,Interlaken Ost,13,11:57,20.06.19,Berlin%238011160,26,ICE
1032, Grund: Technische Störung am Zug,12:02,ICE599,Hamburg-Altona 09:21-Hamburg Dammtor 09:29-Hamburg Hbf 09:36-Berlin-Spandau 11:12-Berlin Hbf (tief) 11:22,8011160.0,arr,Hamburg-Altona,1Berlin Hbf (tief),11:22,20.06.19,Berlin%238011160,40,ICE
