,Frankfurt%238000105,Koeln%238000207,Muenchen%238000261,Berlin%238011160,Stuttgart%238098096,Hannover%238000152,Hamburg%238002549,Bremen%238000050,Dresden%238010085,Mainz%238000240
Frankfurt%238000105,46.0,11.0,0.0,13.0,4.0,6.0,1.0,0.0,4.0,5.0
Koeln%238000207,3.0,24.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
Muenchen%238000261,0.0,0.0,0.0,11.0,2.0,0.0,1.0,0.0,0.0,0.0
Berlin%238011160,6.0,0.0,0.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0
Stuttgart%238098096,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Hannover%238000152,0.0,0.0,0.0,10.0,0.0,30.0,0.0,0.0,0.0,0.0
Hamburg%238002549,0.0,0.0,0.0,3.0,0.0,14.0,4.0,0.0,0.0,0.0
Bremen%238000050,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
Dresden%238010085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mainz%238000240,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
