,Berlin%238011160,Hannover%238000152,Stuttgart%238098096,Bremen%238000050,Hamburg%238002549,Mainz%238000240,Muenchen%238000261,Frankfurt%238000105,Koeln%238000207,Dresden%238010085
Berlin%238011160,0.0,0.0,0.0,0.0,96.0,0.0,0.0,124.0,0.0,0.0
Hannover%238000152,29.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,11.0
Stuttgart%238098096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Bremen%238000050,0.0,17.0,0.0,0.0,105.0,18.0,0.0,14.0,57.0,0.0
Hamburg%238002549,6.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Mainz%238000240,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0
Muenchen%238000261,26.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frankfurt%238000105,59.0,100.0,12.0,0.0,0.0,29.0,0.0,0.0,26.0,43.0
Koeln%238000207,0.0,0.0,7.0,0.0,5.0,36.0,0.0,47.0,0.0,0.0
Dresden%238010085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
