,Berlin.csv_TA,Berlin.csv_TIN,Bremen.csv_TA,Bremen.csv_TIN,Dresden.csv_TA,Dresden.csv_TIN,Frankfurt.csv_TA,Frankfurt.csv_TIN,Hamburg.csv_TA,Hamburg.csv_TIN,Hannover.csv_TA,Hannover.csv_TIN,Koeln.csv_TA,Koeln.csv_TIN,Mainz.csv_TA,Mainz.csv_TIN,Muenchen.csv_TA,Muenchen.csv_TIN,Stuttgart.csv_TA,Stuttgart.csv_TIN
00,4.0,6.0,,,32.0,32.0,,,0.0,1.0,18.0,18.0,2.0,3.0,,,,,,
08,,,,,,,,,,,,,,,,,10.0,32.0,,
09,,,,,,,,,,,,,,,,,1.0,2.0,,
10,9.0,74.0,,,0.0,80.0,3.0,20.0,2.0,37.0,0.0,42.0,2.0,62.0,0.0,35.0,0.0,80.0,5.0,11.0
11,1027.0,2526.0,266.0,701.0,352.0,1335.0,943.0,2536.0,538.0,1476.0,322.0,1121.0,905.0,1668.0,334.0,939.0,1418.0,3422.0,419.0,1501.0
12,729.0,1965.0,258.0,693.0,317.0,1007.0,598.0,1820.0,594.0,1518.0,472.0,1280.0,683.0,1381.0,185.0,859.0,723.0,2117.0,535.0,1571.0
13,714.0,2672.0,230.0,644.0,390.0,1178.0,743.0,2413.0,571.0,1805.0,446.0,1230.0,703.0,1690.0,339.0,1030.0,763.0,2119.0,604.0,1643.0
14,538.0,1702.0,156.0,438.0,411.0,1341.0,527.0,1490.0,482.0,1388.0,366.0,964.0,700.0,1440.0,228.0,928.0,649.0,1833.0,392.0,1229.0
15,401.0,1407.0,207.0,650.0,359.0,1245.0,507.0,1510.0,462.0,1398.0,287.0,849.0,429.0,1013.0,289.0,1102.0,472.0,1687.0,332.0,1135.0
16,452.0,1605.0,238.0,746.0,412.0,1353.0,427.0,1418.0,544.0,1816.0,258.0,861.0,463.0,1136.0,242.0,1021.0,471.0,1597.0,406.0,1328.0
17,465.0,1735.0,218.0,772.0,343.0,1299.0,486.0,1600.0,509.0,1874.0,269.0,934.0,439.0,1138.0,347.0,1269.0,596.0,2024.0,382.0,1385.0
18,491.0,2296.0,222.0,718.0,360.0,1303.0,489.0,1984.0,516.0,2189.0,279.0,1145.0,521.0,1486.0,220.0,890.0,581.0,2308.0,318.0,1645.0
19,472.0,1714.0,145.0,631.0,205.0,951.0,493.0,1616.0,430.0,1451.0,269.0,974.0,551.0,1349.0,233.0,1043.0,610.0,2115.0,352.0,1314.0
20,322.0,1456.0,195.0,711.0,292.0,1216.0,312.0,1471.0,250.0,1206.0,193.0,884.0,348.0,1154.0,212.0,899.0,367.0,1649.0,241.0,1203.0
21,466.0,2091.0,145.0,524.0,232.0,941.0,366.0,1824.0,376.0,1428.0,268.0,1156.0,388.0,1352.0,183.0,773.0,529.0,2198.0,350.0,1559.0
22,223.0,981.0,109.0,498.0,243.0,1187.0,201.0,1091.0,191.0,864.0,136.0,762.0,192.0,735.0,127.0,627.0,219.0,1217.0,168.0,847.0
23,155.0,966.0,101.0,691.0,83.0,723.0,135.0,1031.0,116.0,791.0,71.0,638.0,149.0,634.0,82.0,656.0,173.0,1386.0,93.0,821.0
