,0,1,En
0, Ersatzfahrt für ICE   79@@Grund: Signalstörung,21,Replacement run for ICE 79 @@ Reason: signal interference
1, Ersatzfahrt für ICE  504,3,Replacement trip for ICE 504
2, Ersatzfahrt für ICE  504@@Gleiswechsel,1,Replacement run for ICE 504 @@ track change
3, Ersatzfahrt für ICE  506,1,Replacement run for ICE 506
4, Ersatzfahrt für ICE  506@@Grund: Bauarbeiten,5,Replacement trip for ICE 506 @@ reason: construction work
5, Ersatzfahrt für ICE  572@@Grund: Technische Störung an der Strecke,14,Replacement trip for ICE 572 @@ Reason: technical fault on the route
6, Ersatzfahrt für ICE  572@@Grund: Technische Störung an der Strecke@@Gleiswechsel,5,Replacement trip for ICE 572 @@ reason: technical fault on the route @@ track change
7, Ersatzfahrt für ICE  572@@Grund: Technische Störung an einem anderen Zug,9,Replacement trip for ICE 572 @@ Reason: Technical malfunction on another train
8, Ersatzfahrt für ICE  575@@Grund: Technische Störung am Zug,3,Replacement trip for ICE 575 @@ Reason: Technical fault on the train
9, Ersatzfahrt für ICE  575@@Grund: Technische Störung am Zug@@Gleiswechsel,4,Replacement trip for ICE 575 @@ Reason: Technical fault on the train @@ change of track
10, Ersatzfahrt für ICE  575@@Grund: Technische Störung an einem anderen Zug@@Gleiswechsel,1,Replacement trip for ICE 575 @@ Reason: technical fault on another train @@ change of track
11, Ersatzfahrt für ICE  575@@Grund: Verzögerungen im Betriebsablauf,2,Replacement trip for ICE 575 @@ Reason: delays in the operational process
12, Ersatzfahrt für ICE  576@@Grund: Technische Störung am Zug,8,Replacement trip for ICE 576 @@ Reason: Technical fault on the train
13, Ersatzfahrt für ICE  576@@Grund: Technische Störung am Zug@@Gleiswechsel,11,Replacement trip for ICE 576 @@ Reason: Technical fault on the train @@ change of track
14, Ersatzfahrt für ICE  576@@Grund: Verzögerungen im Betriebsablauf,7,Replacement trip for ICE 576 @@ Reason: delays in the operational process
15, Ersatzfahrt für ICE  577@@Grund: Verzögerungen im Betriebsablauf,34,Replacement trip for ICE 577 @@ Reason: Delays in the operational process
16, Ersatzfahrt für ICE  578,2,Replacement trip for ICE 578
17, Ersatzfahrt für ICE  578@@Grund: Warten auf Fahrgäste aus einem anderen Zug,8,Replacement trip for ICE 578 @@ reason: waiting for passengers from another train
18, Ersatzfahrt für ICE  578@@Grund: Warten auf Fahrgäste aus einem anderen Zug@@Gleiswechsel,5,Replacement trip for ICE 578 @@ reason: waiting for passengers from another train @@ change of track
19, Ersatzfahrt für ICE  587@@Grund: Verspätete Bereitstellung des Zuges,13,Replacement trip for ICE 587 @@ Reason: The train is late
20, Ersatzfahrt für ICE  623@@Grund: Verzögerungen im Betriebsablauf,2,Replacement trip for ICE 623 @@ Reason: delays in the operational process
21, Ersatzfahrt für ICE  786,2,Replacement run for ICE 786
22, Ersatzfahrt für ICE  786@@Grund: Verspätete Bereitstellung des Zuges,7,Replacement trip for ICE 786 @@ Reason: Delayed provision of the train
23, Ersatzfahrt für ICE  786@@Grund: Verspätete Bereitstellung des Zuges@@Gleiswechsel,1,Replacement trip for ICE 786 @@ Reason: Delayed provision of the train @@ change of track
24, Ersatzfahrt für ICE  973@@Grund: Verspätung eines vorausfahrenden Zuges,8,Replacement trip for ICE 973 @@ reason: delay of a train in front
25, Ersatzfahrt für ICE  973@@Grund: Verspätung eines vorausfahrenden Zuges@@Gleiswechsel,3,Replacement trip for ICE 973 @@ reason: delay of a train in front @@ change of track
26, Ersatzfahrt für ICE  974@@Grund: Verspätung aus vorheriger Fahrt,4,Replacement trip for ICE 974 @@ Reason: delay due to previous trip
27, Ersatzfahrt für ICE  974@@Grund: Verspätung aus vorheriger Fahrt@@Gleiswechsel,1,Alternative trip for ICE 974 @@ reason: delay due to previous trip @@ change of track
28, Ersatzfahrt für RE 11324,6,Replacement run for RE 11324
29, Ersatzfahrt für RE 11326,2,Replacement run for RE 11326
30, Ersatzfahrt für S      3,1,Replacement trip for S 3
31, Ersatzfahrt für S      5,7,Replacement trip for S 5
32, Ersatzfahrt für S      8@@Grund: Ärztliche Versorgung eines Fahrgastes,3,Replacement trip for S 8 @@ Reason: medical care for a passenger
33, Fährt heute erst ab Aachen Hbf,1,Today only runs from Aachen Hbf
34, Fährt heute erst ab Ansbach@@Grund: Türstörung,14,Only drives today from Ansbach @@ reason: door fault
35, Fährt heute erst ab Ansbach@@Grund: Türstörung@@Gleiswechsel,7,Only runs today from Ansbach @@ reason: door fault @@ track change
36, Fährt heute erst ab Bad Schandau,11,Only drives from Bad Schandau today
37, Fährt heute erst ab Bad Schandau@@Grund: Streckensperrung,2,Only runs today from Bad Schandau @@ reason: line closure
38, Fährt heute erst ab Bantorf@@Grund: Signalstörung,14,Only drives today from Bantorf @@ reason: signal disturbance
39, Fährt heute erst ab Bantorf@@Grund: Verspätung aus vorheriger Fahrt,14,Only runs today from Bantorf @@ Reason: Delay from previous trip
40, Fährt heute erst ab Basel Bad Bf,1,Today only runs from Basel Bad Bf
41, Fährt heute erst ab Basel Bad Bf@@Grund: Technische Störung am Zug,6,Today only runs from Basel Bad Bf @@ Reason: Technical malfunction on the train
42, Fährt heute erst ab Basel SBB@@Grund: Notarzteinsatz am Gleis,35,Today only runs from Basel SBB @@ reason: emergency doctor on the track
43, Fährt heute erst ab Basel SBB@@Grund: Notarzteinsatz am Gleis@@Gleiswechsel,5,Today only runs from Basel SBB @@ reason: emergency doctor on the track @@ change of track
44, Fährt heute erst ab Bonn Hbf@@Grund: Verspätung aus vorheriger Fahrt,2,Today only runs from Bonn Hbf @@ reason: delay due to previous trip
45, Fährt heute erst ab Bramsche,11,Only leaves from Bramsche today
46, Fährt heute erst ab Frankfurt-Rödelheim,1,Today only runs from Frankfurt-Rödelheim
47, Fährt heute erst ab Freiburg(Breisgau) Hbf@@Grund: Technische Störung am Zug,3,Today only runs from Freiburg (Breisgau) Hbf @@ Reason: Technical malfunction on the train
48, Fährt heute erst ab Hamburg Elbgaustraße,44,Today only runs from Hamburg Elbgaustrasse
49, Fährt heute erst ab Hamburg Hbf,2,Today only runs from Hamburg Hbf
50, Fährt heute erst ab Hamburg Hbf@@Grund: Signalstörung,2,Today only runs from Hamburg Hbf @@ Reason: signal disturbance
51, Fährt heute erst ab Hamburg Hbf@@Grund: Verspätung aus vorheriger Fahrt,3,Today only runs from Hamburg Hbf @@ Reason: Delay due to previous trip
52, Fährt heute erst ab Hamburg Hbf@@Grund: Verspätung eines vorausfahrenden Zuges,5,Today only runs from Hamburg Hbf @@ Reason: delay of a train in front
53, Fährt heute erst ab Hamburg-Blankenese,10,Only runs from Hamburg-Blankenese today
54, Fährt heute erst ab Hamburg-Eidelstedt,7,Only runs from Hamburg-Eidelstedt today
55, Fährt heute erst ab Hannover Messe/Laatzen@@Grund: Verspätete Bereitstellung des Zuges,11,Today only runs from Hannover Messe / Laatzen @@ Reason: The train is late
